Statistic,Value
Mean,524207.7076368294
Median,119645.07269295905
Standard Deviation,735459.4925396923
Variance,540900665166.74176
Minimum,25994.200168069103
Maximum,2796110.3616881184
Range,2770116.1615200494
Interquartile Range,561187.0281850959
Coefficient of Variation (%),140.29925196163236
Skewness,1.3961936463883597
Kurtosis,3.444170612890429
